55,الْوَلِيُّ,Al Wali,"The Protecting Friend Who Is Relied Upon; The Guardian; The Ally","The Protecting Friend, The Supporter."
56,الْحَمِيدُ,Al Hamid,"The One Who Deserves All Gratitude & Praise; The One Who is Glorified","The Praiseworthy, The praised One who deserves to be praised."
57,الْمُحْصِي,Al Muhsi,"The Reckoner; The Appraiser","The Counter, The Reckoner, The One who the count of things are known to him."
58,الْمُبْدِئُ,Al Mubdi’,The Originator,"The One who started the human being. That is, He created him."
59,الْمُعِيدُ,Al Mu’id,The Restorer,"The Reproducer, The One who brings back the creatures after death"
60,الْمُحْيِي,Al Muhyi,The One Who Gives Life,"The Restorer, The Giver of Life, The One who took out a living human from semen that does not have a soul. He gives life by giving the souls back to the worn out bodies on the resurrection day and He makes the hearts alive by the light of knowledge."
61,اَلْمُمِيتُ,Al Mumit,The Giver of Death,"The Creator of Death, The Destroyer, The One who renders the living dead."
62,الْحَيُّ,Al Hayy, The Alive One; The Living One,"The Alive, The One attributed with a life that is unlike our life and is not that of a combination of soul, flesh or blood."
63,الْقَيُّومُ,Al Qayyum,"The Eternal Caretaker; The Continuously Existing One",The One who remains and does not end.
64,الْوَاجِدُ,Al Wajid,The One Who Forms,"The Perceiver, The Finder, The Rich who is never poor. Al-Wajd is Richness."
65,الْمَاجِدُ,Al Maajid,The Glorious One,"The Glorious, He who is Most Glorious."
66,الْواحِدُ,Al Wahid,The One and Only,"The Unique, The One, The One without a partner"
67,اَلاَحَدُ,Al Ahad,"The Formless One; The Unique One",The One
68,الصَّمَدُ,Al Samad,"The Administrator of All Manifestation; The Receiver of Requests;The One to Whom All Should Appeal","The Eternal, The Independent, The Master who is relied upon in matters and reverted to in ones needs."
69,الْقَادِرُ,Al Qadir,"The One Who is Able to Do All Things;The Doer of All Things","The Able, The Capable, The One attributed with Power."
70,الْمُقْتَدِرُ,Al Muqtadir,The Source of All Power ,"The Powerful, The Dominant, The One with the perfect Power that nothing is withheld from Him."
71,الْمُقَدِّمُ,Al Muqaddim,"The One Who Puts Ahead;The Promoter","The Expediter, The Promoter, The One who puts things in their right places. He makes ahead what He wills and delays what He wills."
72,الْمُؤَخِّرُ,Al Mu’akhkhir,"The One Who Puts Behind;The One Who Delays","The Delayer, the Retarder, The One who puts things in their right places. He makes ahead what He wills and delays what He wills."
73,الأوَّلُ,Al Awwal,The Former,"The First, The One whose Existence is without a beginning."
74,الآخِرُ,Al Akhir,The Latter,"The Last, The One whose Existence is without an end."
75,الظَّاهِرُ,Al Zahir,The Outer,"The Manifest, The One that nothing is above Him and nothing is underneath Him, hence He exists without a place. He, The Exalted, His Existence is obvious by proofs and He is clear from the delusions of attributes of bodies."
76,الْبَاطِنُ,Al Batin,The Inner,"The Hidden, The One that nothing is above Him and nothing is underneath Him, hence He exists without a place. He, The Exalted, His Existence is obvious by proofs and He is clear from the delusions of attributes of bodies."
77,الْوَالِي,Al Waali,"The Administrator;The Governor ","The Governor, The One who owns things and manages them."
78,الْمُتَعَالِي,Al Muta’ali,The Most Highly Exalted One,"The Most Exalted, The High Exalted, The One who is clear from the attributes of the creation."
79,الْبَرُّ,Al Barr,"The Source of All Goodness; The Purifier","The Source of All Goodness, The Righteous, The One who is kind to His creatures, who covered them with His sustenance and specified whoever He willed among them by His support, protection, and special mercy."
80,التَّوَابُ,Al Tawwab,"The Accepter of Repentance and Atonement","The Relenting, The One who grants repentance to whoever He willed among His creatures and accepts his repentance."
81,الْمُنْتَقِمُ,Al Muntaqim,The Avenger,"The Avenger, The One who victoriously prevails over His enemies and punishes them for their sins. It may mean the One who destroys them."
82,العَفُوُّ,Al `Afu,The One Who Forgives ,"The Forgiver, The One with wide forgiveness."
83,الرَّؤُوفُ,Al Ra’uf,"The Clement One; The One Full of Compassion and Softness","The Compassionate, The One with extreme Mercy. The Mercy of Allah is His will to endow upon whoever He willed among His creatures."
84,مَالِكُ الْمُلْكِ,Malik Al Mulk,Owner of All Power and Sovereignty,The One who controls the Dominion and gives dominion to whoever He willed.
85,ذُوالْجَلاَلِ وَالإكْرَامِ,Dhul Jalali Wal Ikram ,Owner of Majesty and Generosity,"The Lord of Majesty and Bounty, The One who deserves to be Exalted and not denied."
86,الْمُقْسِطُ,Al Muqsit,The Equitable One,"The Equitable, The One who is Just in His judgment."
87,الْجَامِعُ,Al Jami’,The Gatherer,"The Gatherer, The One who gathers the creatures on a day that there is no doubt about, that is the Day of Judgment."
88,الْغَنِيُّ,Al Ghani,"The Self-Sufficient One;The One Who Needs No One",The One who does not need the creation.
89,الْمُغْنِي,Al Mughni,The Enricher,"The Enricher, The One who satisfies the necessities of the creatures."
90,اَلْمَانِعُ,Al Mani’,The Preventer,The Withholder.
91,الضَّارَّ,Al Darr,The Creator of the Harmful,The One who makes harm reach to whoever He willed and benefit to whoever He willed.
92,النَّافِعُ,Al Nafi’,The Creator of Good,"The Propitious, The One who makes harm reach to whoever He willed and benefit to whoever He willed."
93,النُّورُ,Al Nur,"The Light; The Energy","The Light, The One who guides."
94,الْهَادِي,Al Hadi,The Guide,"The Guide, The One whom with His Guidance His believers were guided, and with His Guidance the living beings have been guided to what is beneficial for them and protected from what is harmful to them."
95,الْبَدِيعُ,Al Badi’,The Originator,"The Incomparable, The One who created the creation and formed it without any preceding example."
96,اَلْبَاقِي,Al Baqi,The One Who Remains,"The Everlasting, The One that the state of non-existence is impossible for Him."
97,الْوَارِثُ,Al Warith,The Inheritor,"The Heir, The One whose Existence remains."
98,الرَّشِيدُ,Al Rashid,"The One Capable of Right Judgment (mature; wise; of sound mind; sensible; rational)","The Guide to the Right Path, The One who guides."
99,الصَّبُورُ,Al Sabur,"The Patient One; The One Who Perseveres; The Steadfast One","The Patient, The One who does not quickly punish the sinners."
